ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
32	2	0	6.97924421285444	1	0.105206	0.0956735	AUTO_TUNING
64	2	0	0.830549821416653	1	0.8464614	0.8465885	AUTO_TUNING
128	2	0	2.37053245724942	1	1.5567085	1.5328055	AUTO_TUNING
256	2	0	2.54389160980566	1	3.0771238	3.073401	AUTO_TUNING
512	2	0	7.70877725815399	1	6.2842463	6.300716	AUTO_TUNING
1024	2	0	9.71367090463173	1	13.2656689	13.260507	AUTO_TUNING
32	4	0	9.6529586633156	1	0.1291295	0.120499	AUTO_TUNING
64	4	0	0.310446822703	1	0.8970841	0.8901305	AUTO_TUNING
128	4	0	0.767252437188404	1	1.6395244	1.630242	AUTO_TUNING
256	4	0	4.20897477630558	1	2.4995773	2.470045	AUTO_TUNING
512	4	0	3.432387821313	1	5.9847618	5.948362	AUTO_TUNING
1024	4	0	11.8029675346484	1	12.4679319	12.28975	AUTO_TUNING
32	8	0	10.2323707957905	1	0.1332869	0.124025	AUTO_TUNING
64	8	0	0.836340829362868	1	0.9817737	0.9734425	AUTO_TUNING
128	8	0	1.24168142148417	1	2.0764122	2.02745	AUTO_TUNING
256	8	0	1.93445691874018	1	3.7165762	3.713329	AUTO_TUNING
512	8	0	6.47136103624655	1	7.769131	7.795699	AUTO_TUNING
1024	8	0	6.91082019466421	1	15.6047353	15.6003975	AUTO_TUNING
32	16	0	10.8458433385575	1	0.1317084	0.1231435	AUTO_TUNING
64	16	0	0.657530332461107	1	1.2530789	1.24804	AUTO_TUNING
128	16	0	1.35776393213598	1	2.1142757	2.116174	AUTO_TUNING
256	16	0	2.06776519745176	1	4.7628593	4.750465	AUTO_TUNING
512	16	0	5.68827015548379	1	8.3671201	8.3720565	AUTO_TUNING
1024	16	0	8.46620490231726	1	18.0244118	18.05148	AUTO_TUNING
32	32	0	9.70060155409404	1	0.2385503	0.23247	AUTO_TUNING
64	32	0	0.2904143935733	1	1.2559653	1.2508485	AUTO_TUNING
128	32	0	0.732742424412635	1	2.5322256	2.5096305	AUTO_TUNING
256	32	0	2.76676255420057	1	5.0737951	5.086378	AUTO_TUNING
512	32	0	4.95201052824461	1	9.3925506	9.3996805	AUTO_TUNING
1024	32	0	11.9605131901853	1	21.4604578	21.4138285	AUTO_TUNING
32	2	1	10.103643559774	1	0.2270867	0.2203955	SEQUENTIAL_OPTIMIZED
64	2	1	34.7113073250996	1	0.3406813	0.333166	SEQUENTIAL_OPTIMIZED
128	2	1	89.6590664826201	1	0.7142569	0.7051795	SEQUENTIAL_OPTIMIZED
256	2	1	255.284437382823	1	0.8265395	0.812497	SEQUENTIAL_OPTIMIZED
512	2	1	555.045435515591	1	1.7210078	1.70683	SEQUENTIAL_OPTIMIZED
1024	2	1	1235.39383111463	1	3.8853486	3.844488	SEQUENTIAL_OPTIMIZED
32	4	1	8.21493815709367	1	0.2957781	0.2887015	SEQUENTIAL_OPTIMIZED
64	4	1	33.3298437793452	1	0.4877483	0.478593	SEQUENTIAL_OPTIMIZED
128	4	1	90.034641477004	1	0.8596552	0.851119	SEQUENTIAL_OPTIMIZED
256	4	1	241.610136447239	1	1.0146803	1.004746	SEQUENTIAL_OPTIMIZED
512	4	1	560.417560524535	1	1.8457626	1.8205025	SEQUENTIAL_OPTIMIZED
1024	4	1	1171.35257096019	1	4.4097181	4.285976	SEQUENTIAL_OPTIMIZED
32	8	1	9.91158257597948	1	0.2989146	0.292289	SEQUENTIAL_OPTIMIZED
64	8	1	32.2579113504077	1	0.499749	0.492082	SEQUENTIAL_OPTIMIZED
128	8	1	99.4384409804611	1	0.7298246	0.7209235	SEQUENTIAL_OPTIMIZED
256	8	1	254.522754295026	1	1.1958142	1.1702835	SEQUENTIAL_OPTIMIZED
512	8	1	594.438124344147	1	2.2440079	2.247046	SEQUENTIAL_OPTIMIZED
1024	8	1	1177.83223404026	1	5.5511089	5.5305515	SEQUENTIAL_OPTIMIZED
32	16	1	9.13922189582197	1	0.570843	0.563832	SEQUENTIAL_OPTIMIZED
64	16	1	36.218774556851	1	0.4194751	0.4121935	SEQUENTIAL_OPTIMIZED
128	16	1	94.0542524256675	1	0.9497896	0.9417085	SEQUENTIAL_OPTIMIZED
256	16	1	260.88102773779	1	1.5850723	1.561116	SEQUENTIAL_OPTIMIZED
512	16	1	557.092761305276	1	2.8370237	2.829451	SEQUENTIAL_OPTIMIZED
1024	16	1	1242.37426957003	1	6.9816235	6.952165	SEQUENTIAL_OPTIMIZED
32	32	1	11.0002778819713	1	0.6744869	0.6766435	SEQUENTIAL_OPTIMIZED
64	32	1	35.2407621376509	1	0.8610984	0.8538865	SEQUENTIAL_OPTIMIZED
128	32	1	103.277818290258	1	2.0101439	1.8152955	SEQUENTIAL_OPTIMIZED
