ntips	nstates	rep	likelihood	mean_time	median_time	method
32	2	1	-74.2601616535825	1.1407061	1.14308	tensorphylo
32	2	1	-39.8482932032233	0.6396738	0.627218	diversitree
64	2	1	-90.4610864214711	1.6403362	1.6336655	tensorphylo
64	2	1	-65.0652464906889	1.2247274	1.2049285	diversitree
128	2	1	-277.948650779985	4.6882926	4.6736105	tensorphylo
128	2	1	-174.975511481295	2.418713	2.424658	diversitree
256	2	1	-488.843913256027	8.8799112	8.7702075	tensorphylo
256	2	1	-346.454217149363	4.8766794	4.863748	diversitree
512	2	1	-1211.53561706298	18.2351395	18.119212	tensorphylo
512	2	1	-686.347994137433	10.3667188	9.8390365	diversitree
1024	2	1	-2115.63564886645	34.3075413	34.2839745	tensorphylo
1024	2	1	-1320.42422024794	20.7249178	19.5681725	diversitree
32	4	1	-60.4865195144621	1.3337915	1.346399	tensorphylo
32	4	1	-36.4386592259501	0.798065	0.7957895	diversitree
64	4	1	-149.311069510254	2.9959151	2.9883465	tensorphylo
64	4	1	-80.0000906843229	1.6405207	1.6440385	diversitree
128	4	1	-353.708465680468	6.9846944	6.8206985	tensorphylo
128	4	1	-192.944847290569	3.3182407	3.254949	diversitree
256	4	1	-772.884808945621	9.995144	9.979974	tensorphylo
256	4	1	-315.167559956677	6.6212786	6.6206185	diversitree
512	4	1	-1287.94391321316	20.9427836	20.9213365	tensorphylo
512	4	1	-661.511738896973	13.4961504	12.929719	diversitree
1024	4	1	-2179.41063590202	44.331578	44.4975255	tensorphylo
1024	4	1	-1349.23950916432	27.3413297	25.5115735	diversitree
32	8	1	-91.0684749624389	1.9678811	1.9655195	tensorphylo
32	8	1	-33.7152181669001	1.6985726	1.6736815	diversitree
64	8	1	-218.487769906612	5.3787326	5.3717585	tensorphylo
64	8	1	-93.1466199201911	3.6005544	3.6026905	diversitree
128	8	1	-390.909283435393	9.924829	9.9213645	tensorphylo
128	8	1	-186.670867322983	6.9840876	6.9523085	diversitree
256	8	1	-913.59101276223	18.9856281	18.947945	tensorphylo
256	8	1	-346.228569848264	14.2013709	14.056194	diversitree
512	8	1	-1413.50210331155	34.8545551	35.032163	tensorphylo
512	8	1	-654.911613264609	29.6011882	28.152527	diversitree
1024	8	1	-2333.28427466282	67.7020085	67.8651065	tensorphylo
1024	8	1	-1324.38394665154	59.0915042	55.489072	diversitree
32	16	1	-90.0279560883757	3.8925933	3.893114	tensorphylo
32	16	1	-37.2631040725492	7.4454893	7.430881	diversitree
64	16	1	-172.567692441277	8.0191736	7.982741	tensorphylo
64	16	1	-98.3330012638794	15.0865363	15.1043795	diversitree
128	16	1	-439.176394972356	16.0500937	16.102791	tensorphylo
128	16	1	-180.614458069822	30.6013914	29.785352	diversitree
