ntips	nhidden	rep	mean_time	median_time	method
32	0	1	2.1560752	2.128228	tensorphylo
32	0	1	23.5795715	22.4479305	hisse
64	0	1	4.3981192	4.337472	tensorphylo
64	0	1	38.5407093	39.390832	hisse
128	0	1	9.0074212	8.9098535	tensorphylo
128	0	1	65.4294277	65.0744005	hisse
256	0	1	16.6829246	16.303732	tensorphylo
256	0	1	103.618193	103.113729	hisse
512	0	1	35.4566893	33.858661	tensorphylo
512	0	1	220.7026433	219.1060705	hisse
1024	0	1	69.1116049	64.281112	tensorphylo
1024	0	1	377.7137669	365.645216	hisse
32	1	1	2.754298	2.70313	tensorphylo
32	1	1	42.0533474	41.525743	hisse
64	1	1	6.7401458	6.595629	tensorphylo
64	1	1	56.8244707	55.8352145	hisse
128	1	1	11.8109602	11.721982	tensorphylo
128	1	1	98.2769631	98.8795975	hisse
256	1	1	23.9147547	23.678812	tensorphylo
256	1	1	143.6783787	139.668468	hisse
512	1	1	50.1601011	48.837437	tensorphylo
512	1	1	280.8998314	279.6955835	hisse
1024	1	1	100.2226222	94.223822	tensorphylo
1024	1	1	585.7031507	576.461558	hisse
32	2	1	4.4292587	4.3891935	tensorphylo
32	2	1	36.0076514	35.198705	hisse
64	2	1	7.1041889	6.948967	tensorphylo
64	2	1	63.810022	62.705646	hisse
128	2	1	14.7094757	14.4712165	tensorphylo
128	2	1	95.3016054	97.502797	hisse
256	2	1	28.8406464	28.5427035	tensorphylo
256	2	1	153.3364535	150.365614	hisse
512	2	1	64.4248334	62.8062395	tensorphylo
512	2	1	275.6609785	271.175066	hisse
1024	2	1	125.2162714	118.6393425	tensorphylo
1024	2	1	580.294771	581.201363	hisse
32	3	1	4.4995122	4.4425755	tensorphylo
32	3	1	38.6728933	37.2533995	hisse
64	3	1	8.4226341	8.377366	tensorphylo
64	3	1	52.9171666	53.333456	hisse
128	3	1	18.261769	18.118105	tensorphylo
128	3	1	91.706586	87.3325625	hisse
256	3	1	33.0425027	32.495698	tensorphylo
256	3	1	137.5493789	136.4706115	hisse
512	3	1	71.1598132	69.459904	tensorphylo
512	3	1	283.2728991	279.2363835	hisse
1024	3	1	150.5215657	144.9774555	tensorphylo
1024	3	1	554.2392997	569.946658	hisse
32	4	1	4.7993411	4.750588	tensorphylo
32	4	1	29.1148626	28.140637	hisse
64	4	1	11.5249237	11.6201175	tensorphylo
64	4	1	58.5217723	56.616982	hisse
128	4	1	20.320174	20.1090035	tensorphylo
128	4	1	93.9481011	89.2690745	hisse
256	4	1	44.0646885	43.5215	tensorphylo
256	4	1	151.2623209	157.3292795	hisse
512	4	1	88.2789286	86.9679905	tensorphylo
512	4	1	268.8713416	268.097893	hisse
1024	4	1	178.7295903	172.5475365	tensorphylo
1024	4	1	555.8334125	549.2609075	hisse
32	5	1	6.1679908	6.141308	tensorphylo
32	5	1	35.1924935	33.4333885	hisse
64	5	1	14.963073	14.902188	tensorphylo
64	5	1	57.7386395	58.1531495	hisse
128	5	1	22.4168443	21.578218	tensorphylo
128	5	1	88.03315	85.96265	hisse
256	5	1	50.9848325	50.447958	tensorphylo
256	5	1	147.0384722	140.547795	hisse
512	5	1	98.8221975	97.0033965	tensorphylo
512	5	1	289.9679777	274.5479925	hisse
1024	5	1	202.7602233	195.049423	tensorphylo
1024	5	1	522.8841602	527.8838765	hisse
32	6	1	8.3492892	8.2969855	tensorphylo
32	6	1	33.9272335	32.9311385	hisse
64	6	1	11.8763675	11.944858	tensorphylo
64	6	1	48.5226267	48.3600125	hisse
128	6	1	31.9183688	31.7217205	tensorphylo
128	6	1	88.2422008	88.427734	hisse
256	6	1	56.8601325	57.0610735	tensorphylo
256	6	1	164.8114269	168.7052215	hisse
512	6	1	126.4205193	126.1208175	tensorphylo
512	6	1	289.2175383	288.4219415	hisse
1024	6	1	248.407397	244.133106	tensorphylo
1024	6	1	535.6499038	529.567521	hisse
32	7	1	8.0078371	7.973393	tensorphylo
32	7	1	31.2872148	29.954969	hisse
64	7	1	18.0600695	18.062222	tensorphylo
64	7	1	53.9732569	55.835973	hisse
128	7	1	32.1512406	32.08988	tensorphylo
128	7	1	86.9892326	88.716661	hisse
256	7	1	62.2998362	61.762851	tensorphylo
256	7	1	143.9637674	147.3866975	hisse
512	7	1	125.3039991	124.036316	tensorphylo
512	7	1	267.5043278	250.734229	hisse
1024	7	1	277.7400639	273.3017155	tensorphylo
1024	7	1	492.3167742	478.7988815	hisse
32	8	1	8.7674769	8.724718	tensorphylo
32	8	1	27.0911846	26.0570785	hisse
64	8	1	17.7745291	17.710729	tensorphylo
64	8	1	53.9915675	54.098967	hisse
128	8	1	42.1900906	42.1413785	tensorphylo
128	8	1	89.0380518	88.15082	hisse
256	8	1	71.7974124	71.6129985	tensorphylo
256	8	1	150.8316323	149.0563405	hisse
512	8	1	149.6678719	147.8585255	tensorphylo
512	8	1	292.1282882	290.802504	hisse
1024	8	1	304.3898671	297.985048	tensorphylo
1024	8	1	549.5694284	543.4116425	hisse
32	9	1	11.970483	11.975198	tensorphylo
32	9	1	36.5445259	35.5821985	hisse
64	9	1	21.9794891	21.9250985	tensorphylo
64	9	1	55.7319847	54.63168	hisse
128	9	1	36.945838	37.2447075	tensorphylo
128	9	1	77.3306699	75.708427	hisse
256	9	1	87.746642	87.6276395	tensorphylo
256	9	1	134.5608684	128.267393	hisse
512	9	1	163.3248325	162.17386	tensorphylo
512	9	1	302.4031219	295.664981	hisse
1024	9	1	339.354417	333.987927	tensorphylo
1024	9	1	559.1814192	547.638517	hisse
32	0	2	2.1840577	2.1654765	tensorphylo
32	0	2	21.4160917	20.4829645	hisse
64	0	2	3.9019413	3.853303	tensorphylo
64	0	2	35.9939287	34.7240275	hisse
128	0	2	9.0423286	8.9282215	tensorphylo
128	0	2	58.7782068	61.152976	hisse
256	0	2	18.6682225	18.131471	tensorphylo
256	0	2	95.447672	91.34103	hisse
512	0	2	35.7835536	34.3722475	tensorphylo
512	0	2	181.0651512	166.933632	hisse
1024	0	2	70.7514286	64.982499	tensorphylo
1024	0	2	390.0532458	377.455266	hisse
32	1	2	3.4091131	3.3370515	tensorphylo
32	1	2	30.2190746	28.876505	hisse
64	1	2	6.4102147	6.300142	tensorphylo
64	1	2	60.718212	58.9874175	hisse
128	1	2	13.1999582	12.9612685	tensorphylo
128	1	2	86.2700229	84.799603	hisse
256	1	2	24.5562489	24.1023215	tensorphylo
256	1	2	179.1642026	179.664952	hisse
512	1	2	47.3128766	45.6887805	tensorphylo
512	1	2	279.8041843	273.820181	hisse
1024	1	2	101.6983475	95.2687275	tensorphylo
1024	1	2	583.6966681	588.65299	hisse
32	2	2	3.5530969	3.537849	tensorphylo
32	2	2	30.024956	29.525863	hisse
64	2	2	7.8651858	7.821816	tensorphylo
64	2	2	56.5596968	55.931011	hisse
128	2	2	17.1297262	16.661375	tensorphylo
128	2	2	94.657766	97.241094	hisse
256	2	2	31.0354871	30.6399765	tensorphylo
256	2	2	154.4294069	157.112	hisse
512	2	2	66.7071066	65.6158465	tensorphylo
512	2	2	287.0404711	283.6400705	hisse
1024	2	2	134.6477638	129.2326765	tensorphylo
1024	2	2	585.2420483	560.020968	hisse
32	3	2	4.2347957	4.220581	tensorphylo
32	3	2	37.1790091	35.784144	hisse
64	3	2	7.7330264	7.6345485	tensorphylo
64	3	2	62.7410864	61.4353635	hisse
128	3	2	17.5665279	17.649598	tensorphylo
128	3	2	86.8441664	83.952625	hisse
256	3	2	34.5473339	34.390185	tensorphylo
256	3	2	157.4531077	148.409627	hisse
512	3	2	75.3120308	73.2568115	tensorphylo
512	3	2	299.4584568	299.71738	hisse
1024	3	2	150.4167369	143.890443	tensorphylo
1024	3	2	572.5415234	558.5695065	hisse
32	4	2	5.3289832	5.264441	tensorphylo
32	4	2	37.1217362	37.3028865	hisse
64	4	2	10.8333152	10.753685	tensorphylo
64	4	2	56.7207653	57.038667	hisse
128	4	2	20.2586371	19.9591895	tensorphylo
128	4	2	72.9821566	72.1972075	hisse
256	4	2	41.2178863	40.7783335	tensorphylo
256	4	2	147.7733849	142.931248	hisse
512	4	2	85.472577	84.3267705	tensorphylo
512	4	2	298.6485428	301.0483835	hisse
1024	4	2	190.0265335	184.1759975	tensorphylo
1024	4	2	568.0079238	565.0301225	hisse
32	5	2	6.0914028	6.027328	tensorphylo
32	5	2	35.8619743	36.1217995	hisse
64	5	2	14.062713	13.8669585	tensorphylo
64	5	2	55.7200045	53.818773	hisse
128	5	2	23.6035811	23.361513	tensorphylo
128	5	2	78.5494195	78.257192	hisse
256	5	2	51.1980448	50.668374	tensorphylo
256	5	2	152.9160436	150.3097515	hisse
512	5	2	104.6015206	102.935994	tensorphylo
512	5	2	263.7200647	246.803026	hisse
1024	5	2	201.4216922	195.518463	tensorphylo
1024	5	2	550.160222	549.004801	hisse
32	6	2	7.4624141	7.4641115	tensorphylo
32	6	2	34.4397458	33.887607	hisse
64	6	2	16.6229047	16.6041185	tensorphylo
64	6	2	53.6054172	53.1894845	hisse
128	6	2	32.0074864	31.8007685	tensorphylo
128	6	2	89.8264367	89.104603	hisse
256	6	2	61.7040406	61.649486	tensorphylo
256	6	2	149.2154369	145.2945905	hisse
512	6	2	124.3478996	122.6065845	tensorphylo
512	6	2	281.2206113	281.285912	hisse
1024	6	2	243.3556312	238.3477395	tensorphylo
1024	6	2	541.4286324	557.821359	hisse
32	7	2	10.4164067	10.410023	tensorphylo
32	7	2	34.4775724	33.8707765	hisse
64	7	2	15.8391774	15.919562	tensorphylo
64	7	2	49.2216439	48.397261	hisse
128	7	2	34.3731331	34.207817	tensorphylo
128	7	2	98.2324986	90.170685	hisse
256	7	2	62.8687686	62.5873815	tensorphylo
256	7	2	148.5070184	151.6281475	hisse
512	7	2	133.4805594	133.1998365	tensorphylo
512	7	2	280.7360446	278.7891965	hisse
1024	7	2	267.7009925	261.649167	tensorphylo
1024	7	2	517.6569062	517.385314	hisse
32	8	2	8.6398111	8.6280605	tensorphylo
32	8	2	31.4050693	31.447287	hisse
64	8	2	19.996151	19.862081	tensorphylo
64	8	2	50.1949511	49.643825	hisse
128	8	2	38.8182465	38.9052075	tensorphylo
128	8	2	92.2222553	91.580921	hisse
256	8	2	77.1273509	76.5738345	tensorphylo
256	8	2	155.2756674	147.257486	hisse
512	8	2	146.2345975	145.7286575	tensorphylo
512	8	2	276.3943168	271.648083	hisse
1024	8	2	307.675111	303.3846455	tensorphylo
1024	8	2	556.9897273	566.0983365	hisse
32	9	2	9.4246167	9.4183355	tensorphylo
32	9	2	40.6508153	39.9707155	hisse
64	9	2	23.6850973	23.7159375	tensorphylo
64	9	2	49.1177294	49.587327	hisse
128	9	2	43.5766983	43.144054	tensorphylo
128	9	2	85.4130901	83.2337925	hisse
256	9	2	83.428153	83.120407	tensorphylo
256	9	2	149.8728883	149.288175	hisse
512	9	2	169.9638846	168.8697955	tensorphylo
512	9	2	286.5542316	290.3427915	hisse
1024	9	2	346.9869934	341.278219	tensorphylo
1024	9	2	573.1736245	566.6976745	hisse
32	0	3	1.8103878	1.7808555	tensorphylo
32	0	3	23.9148121	23.7415215	hisse
64	0	3	4.5794581	4.5402375	tensorphylo
64	0	3	33.7638813	31.788817	hisse
128	0	3	8.1166101	7.972614	tensorphylo
128	0	3	65.3010854	65.142358	hisse
256	0	3	16.4610572	15.969418	tensorphylo
256	0	3	90.0122487	88.2380475	hisse
512	0	3	33.8435689	32.3878475	tensorphylo
512	0	3	169.6174551	162.968481	hisse
1024	0	3	76.8275507	67.608959	tensorphylo
1024	0	3	382.2619953	368.015877	hisse
32	1	3	2.8939645	2.8566135	tensorphylo
32	1	3	29.3229089	28.1053975	hisse
64	1	3	5.1303669	4.9980845	tensorphylo
