ntips	nstates	rep	true	likelihood	error	mean_time	median_time	method
32	2	1	-55.5544747298669	-55.5506046317378	0.00387009812909156	3.8546806	3.8103555	castor
32	2	1	-55.5544747298669	-55.5544756798088	9.49941927785858e-07	0.5816014	0.5738565	diversitree
32	2	1	-55.5544747298669	-55.5545099682406	3.5238373698121e-05	0.8383475	0.832792	tensorphylo
64	2	1	-72.3086111971767	-72.3054927466197	0.00311845055698257	2.9239355	2.904973	castor
64	2	1	-72.3086111971767	-72.3086120220365	8.24859810677481e-07	1.076947	1.066738	diversitree
64	2	1	-72.3086111971767	-72.3086401283036	2.89311268630854e-05	1.1167129	1.116881	tensorphylo
128	2	1	-152.182600524516	-152.177379062214	0.00522146230193243	3.6633459	3.6277415	castor
128	2	1	-152.182600524516	-152.18260285721	2.33269403793201e-06	2.1754354	2.177059	diversitree
128	2	1	-152.182600524516	-152.182670032052	6.95075363239539e-05	2.1803841	2.1793345	tensorphylo
256	2	1	-303.454044771064	-303.445733320205	0.00831145085879825	3.5865816	3.5833795	castor
256	2	1	-303.454044771064	-303.454048615767	3.84470337166931e-06	4.2926836	4.269658	diversitree
256	2	1	-303.454044771064	-303.454179997965	0.000135226901477381	3.8925892	3.9156845	tensorphylo
512	2	1	-724.51640632646	-724.510231105849	0.00617522061099862	5.1567914	5.0350665	castor
512	2	1	-724.51640632646	-724.516417041019	1.07145584706814e-05	9.456281	8.9014075	diversitree
512	2	1	-724.51640632646	-724.516696846384	0.000290519924192267	9.734835	9.6896325	tensorphylo
1024	2	1	-1348.34883335161	-1348.34063667206	0.0081966795507924	5.3726154	5.355051	castor
1024	2	1	-1348.34883335161	-1348.3488515736	1.82219914677262e-05	18.8357813	18.3655195	diversitree
1024	2	1	-1348.34883335161	-1348.34937840283	0.000545051222616166	17.8388622	17.8750775	tensorphylo
32	4	1	-36.9056173034247	-36.9039940317515	0.00162327167327447	4.5409099	4.500078	castor
32	4	1	-36.9056173034247	-36.9056180104881	7.0706335009163e-07	0.6301577	0.609547	diversitree
32	4	1	-36.9056173034247	-36.9056273753257	1.00719009878958e-05	0.6759055	0.6754135	tensorphylo
64	4	1	-83.1124432157799	-83.1090755829108	0.00336763286915698	5.6417763	5.6420305	castor
64	4	1	-83.1124432157799	-83.1124456329155	2.41713560455992e-06	1.2498522	1.2553995	diversitree
64	4	1	-83.1124432157799	-83.1124844195168	4.12037369272866e-05	1.2176672	1.217987	tensorphylo
128	4	1	-193.188658994307	-193.188361335329	0.000297658978325899	6.6274081	6.660409	castor
128	4	1	-193.188658994307	-193.188664595439	5.60113159053799e-06	2.5133656	2.525026	diversitree
128	4	1	-193.188658994307	-193.188758747065	9.97527573076695e-05	2.4786878	2.4697375	tensorphylo
256	4	1	-311.858096947559	-311.85121339464	0.00688355291862308	6.7619414	6.8097105	castor
256	4	1	-311.858096947559	-311.858104675188	7.7276296792661e-06	4.9182165	4.891218	diversitree
256	4	1	-311.858096947559	-311.858244147087	0.000147199528043984	4.1295528	4.109553	tensorphylo
512	4	1	-653.201256255679	-653.194004865995	0.00725138968391548	8.3592153	8.192825	castor
512	4	1	-653.201256255679	-653.201272722773	1.64670943831879e-05	10.2940299	9.8020135	diversitree
512	4	1	-653.201256255679	-653.201529095804	0.000272840124807772	8.3898013	8.4101865	tensorphylo
1024	4	1	-1302.07748176023	-1302.05739595434	0.0200858058924496	7.9507241	7.936821	castor
1024	4	1	-1302.07748176023	-1302.07751298419	3.12239599224995e-05	20.7034338	20.020997	diversitree
1024	4	1	-1302.07748176023	-1302.07805347328	0.000571713047293088	16.2270251	16.2351185	tensorphylo
32	8	1	-50.7190779262975	-50.7167040026185	0.00237392367902345	11.997297	11.542074	castor
32	8	1	-50.7190779262975	-50.7190794036687	1.4773712351257e-06	0.8986175	0.9006265	diversitree
32	8	1	-50.7190779262975	-50.7191043162448	2.63899473296192e-05	0.9645004	0.9677025	tensorphylo
64	8	1	-80.1832283522903	-80.1840646772459	0.000836324955670875	15.4992382	15.484306	castor
64	8	1	-80.1832283522903	-80.183230494972	2.14268170850573e-06	1.6428577	1.6507215	diversitree
64	8	1	-80.1832283522903	-80.1832690324858	4.0680195496634e-05	1.5313623	1.5282545	tensorphylo
128	8	1	-154.818461303712	-154.819198359465	0.000737055752352944	15.6902449	15.6921555	castor
128	8	1	-154.818461303712	-154.8184651571	3.85338745445551e-06	3.1989676	3.2012185	diversitree
128	8	1	-154.818461303712	-154.818533334498	7.2030785872812e-05	2.600343	2.5931885	tensorphylo
256	8	1	-363.671495871284	-363.666390408294	0.00510546299022963	19.9181649	19.9492265	castor
256	8	1	-363.671495871284	-363.671506282646	1.04113624388447e-05	6.43495	6.4150445	diversitree
256	8	1	-363.671495871284	-363.671655940211	0.000160068926561507	5.6593612	5.663576	tensorphylo
512	8	1	-698.47566503304	-698.468917158292	0.00674787474804361	20.2335328	20.466667	castor
512	8	1	-698.47566503304	-698.475683687018	1.86539781452666e-05	13.070841	12.912376	diversitree
512	8	1	-698.47566503304	-698.475963463263	0.000298430223210744	10.6383233	10.6320585	tensorphylo
1024	8	1	-1296.84355563309	-1296.83192381313	0.011631819952072	21.7724022	21.6821735	castor
1024	8	1	-1296.84355563309	-1296.84359155761	3.59245245817874e-05	26.9562536	26.1595375	diversitree
1024	8	1	-1296.84355563309	-1296.84409763625	0.000542003160489912	20.7161069	20.262979	tensorphylo
32	16	1	-31.2583170039367	-31.2567682435652	0.00154876037143836	61.6225777	61.473309	castor
32	16	1	-31.2583170039367	-31.2583178345392	8.30602552071014e-07	1.2669369	1.240988	diversitree
32	16	1	-31.2583170039367	-31.2583323848215	1.53808848040171e-05	0.8300983	0.846076	tensorphylo
64	16	1	-89.9863220455834	-89.9812745007706	0.00504754481289638	95.8626412	90.740257	castor
64	16	1	-89.9863220455834	-89.9863250277208	2.98213737437436e-06	2.7628506	2.722646	diversitree
64	16	1	-89.9863220455834	-89.9863772890784	5.52434949128155e-05	1.8669678	1.852052	tensorphylo
128	16	1	-179.257519005613	-179.26089213214	0.0033731265266681	127.5931767	121.225725	castor
128	16	1	-179.257519005613	-179.25752370787	4.70225683102399e-06	5.2047409	5.1021835	diversitree
128	16	1	-179.257519005613	-179.257584211472	6.52058584194037e-05	3.6609187	3.608205	tensorphylo
256	16	1	-327.019902470755	-327.012053894888	0.0078485758667739	128.9601249	123.390648	castor
256	16	1	-327.019902470755	-327.019910490405	8.01965001073768e-06	10.5648103	10.1635925	diversitree
256	16	1	-327.019902470755	-327.020021906695	0.000119435940121093	6.1035716	5.9244795	tensorphylo
512	16	1	-634.372965179175	-634.365816206615	0.00714897256011682	127.3742121	122.9247445	castor
512	16	1	-634.372965179175	-634.37298525261	2.00734345980891e-05	22.3984517	20.9959565	diversitree
512	16	1	-634.372965179175	-634.373219254477	0.000254075302450474	12.2769211	11.9083065	tensorphylo
1024	16	1	-1384.11026398558	-1384.0701448652	0.0401191203793587	152.2541273	151.3446735	castor
1024	16	1	-1384.11026398558	-1384.11030489206	4.09064773521095e-05	42.6927137	41.646447	diversitree
1024	16	1	-1384.11026398558	-1384.11085492352	0.00059093793743159	25.1807609	25.125456	tensorphylo
32	32	1	-44.4886008612776	-44.4864879678006	0.00211289347704025	467.64641	467.911557	castor
32	32	1	-44.4886008612776	-44.4886018707863	1.00950871484429e-06	2.0165973	2.02089	diversitree
32	32	1	-44.4886008612776	-44.4886256718288	2.48105511531094e-05	1.1305053	1.103802	tensorphylo
64	32	1	-85.5984481846723	-85.5923684031705	0.00607978150179633	462.4101237	462.8685775	castor
64	32	1	-85.5984481846723	-85.5984502581357	2.07346346314807e-06	3.9800012	3.980198	diversitree
64	32	1	-85.5984481846723	-85.5984788095419	3.06248696517741e-05	2.0233008	2.0406315	tensorphylo
128	32	1	-158.087383744389	-158.085709978731	0.00167376565755717	690.7891888	690.6164025	castor
128	32	1	-158.087383744389	-158.087388776005	5.03161598430779e-06	7.9205317	7.8813685	diversitree
128	32	1	-158.087383744389	-158.087442998181	5.92537920169889e-05	3.4276902	3.3970345	tensorphylo
256	32	1	-324.4240951731	-324.415450247193	0.00864492590795862	923.770795	919.109218	castor
256	32	1	-324.4240951731	-324.424104372655	9.19955465406019e-06	15.9119155	15.942973	diversitree
256	32	1	-324.4240951731	-324.424240429528	0.000145256427629192	6.4524816	6.464347	tensorphylo
512	32	1	-683.710167042305	-683.697216039171	0.0129510031340487	930.1204117	928.238852	castor
512	32	1	-683.710167042305	-683.710186940703	1.9898397340512e-05	32.7058927	31.5061425	diversitree
512	32	1	-683.710167042305	-683.710443359421	0.000276317115549318	14.1700182	14.078211	tensorphylo
1024	32	1	-1342.85965556328	-1342.83174125865	0.0279143046284389	941.8465962	939.711882	castor
1024	32	1	-1342.85965556328	-1342.85969055693	3.49936472048284e-05	64.1000929	61.791469	diversitree
1024	32	1	-1342.85965556328	-1342.86023025065	0.000574687368043669	26.4370091	26.607893	tensorphylo
32	2	2	-34.9817567580125	-34.9794405084589	0.00231624955358711	3.0894689	3.067128	castor
