ntips	nstates	ncores	rep	mean_time	median_time	method
32	2	1	1	0.9269403	0.895973	tensorphylo
32	2	2	1	0.9025699	0.756286	tensorphylo
32	2	3	1	1.2773386	0.732547	tensorphylo
32	2	4	1	1.0268245	0.6976765	tensorphylo
32	4	1	1	1.2458711	1.2282575	tensorphylo
32	4	2	1	2.0109844	2.0176715	tensorphylo
32	4	3	1	2.5617661	2.5391915	tensorphylo
32	4	4	1	3.1331995	3.208127	tensorphylo
32	8	1	1	1.5061596	1.4794645	tensorphylo
32	8	2	1	1.5397714	1.3891005	tensorphylo
32	8	3	1	0.9642011	0.9421595	tensorphylo
32	8	4	1	0.9862345	0.8730745	tensorphylo
32	16	1	1	3.2789094	3.25622	tensorphylo
32	16	2	1	2.9185522	2.8900695	tensorphylo
32	16	3	1	2.3604643	2.343027	tensorphylo
32	16	4	1	2.0753216	1.902892	tensorphylo
32	32	1	1	4.9908767	4.9780355	tensorphylo
32	32	2	1	4.2066369	4.197498	tensorphylo
32	32	3	1	3.2370402	3.225921	tensorphylo
32	32	4	1	2.671273	2.626091	tensorphylo
32	64	1	1	16.8220007	16.853706	tensorphylo
32	64	2	1	11.7490092	11.7494315	tensorphylo
32	64	3	1	10.3522007	10.3224675	tensorphylo
32	64	4	1	8.8603624	8.847759	tensorphylo
32	128	1	1	67.8074605	67.560989	tensorphylo
32	128	2	1	40.0590664	40.07914	tensorphylo
32	128	3	1	31.2497449	31.2127055	tensorphylo
32	128	4	1	22.3183418	22.2664235	tensorphylo
64	2	1	1	1.6983512	1.6608075	tensorphylo
64	2	2	1	3.565155	3.538628	tensorphylo
64	2	3	1	3.3636318	3.2633335	tensorphylo
64	2	4	1	3.1685251	3.066964	tensorphylo
64	4	1	1	2.0104719	1.9776555	tensorphylo
64	4	2	1	3.2185164	3.181559	tensorphylo
64	4	3	1	3.3269245	3.3001925	tensorphylo
64	4	4	1	3.3318814	3.106939	tensorphylo
64	8	1	1	3.3286711	3.284305	tensorphylo
64	8	2	1	3.5993121	3.553347	tensorphylo
64	8	3	1	4.3116871	4.2798465	tensorphylo
64	8	4	1	3.2629973	2.967744	tensorphylo
64	16	1	1	6.2294703	6.2314465	tensorphylo
64	16	2	1	4.8260075	4.791383	tensorphylo
64	16	3	1	3.7593679	3.7349565	tensorphylo
64	16	4	1	3.4813428	3.4532045	tensorphylo
64	32	1	1	12.6825628	12.6805825	tensorphylo
64	32	2	1	8.009268	7.9778825	tensorphylo
64	32	3	1	6.2300525	6.192927	tensorphylo
64	32	4	1	5.0820935	5.0021025	tensorphylo
64	64	1	1	33.05174	33.1556545	tensorphylo
64	64	2	1	21.0902155	20.9037475	tensorphylo
64	64	3	1	14.3159208	14.280751	tensorphylo
64	64	4	1	13.7844706	13.665095	tensorphylo
64	128	1	1	100.1833934	100.5847055	tensorphylo
64	128	2	1	55.2211944	55.047297	tensorphylo
64	128	3	1	46.6449292	46.589161	tensorphylo
64	128	4	1	40.2516311	40.219606	tensorphylo
128	2	1	1	3.147939	3.0582105	tensorphylo
128	2	2	1	6.2208603	6.1496515	tensorphylo
128	2	3	1	6.8619117	6.7983125	tensorphylo
128	2	4	1	6.4174266	5.7937305	tensorphylo
128	4	1	1	4.3982504	4.335873	tensorphylo
128	4	2	1	5.8277564	5.735449	tensorphylo
128	4	3	1	6.3198548	6.267342	tensorphylo
128	4	4	1	5.7424026	5.5929535	tensorphylo
128	8	1	1	5.7372694	5.6663025	tensorphylo
128	8	2	1	7.6528755	7.5559105	tensorphylo
128	8	3	1	6.5511153	6.474187	tensorphylo
128	8	4	1	6.1994542	6.0417395	tensorphylo
128	16	1	1	12.234933	12.1882545	tensorphylo
128	16	2	1	10.1624568	10.0901615	tensorphylo
128	16	3	1	7.381107	7.308783	tensorphylo
128	16	4	1	7.2641668	7.0441895	tensorphylo
128	32	1	1	23.5001709	23.434411	tensorphylo
128	32	2	1	16.3313906	17.432913	tensorphylo
128	32	3	1	10.2743458	10.189402	tensorphylo
128	32	4	1	7.5902562	7.480819	tensorphylo
128	64	1	1	77.714229	77.0437765	tensorphylo
128	64	2	1	41.2492308	41.103935	tensorphylo
128	64	3	1	32.9225736	33.2684865	tensorphylo
128	64	4	1	21.9177267	22.0405135	tensorphylo
128	128	1	1	239.1319465	239.1924625	tensorphylo
128	128	2	1	117.4199492	117.3835535	tensorphylo
128	128	3	1	88.1898151	88.1214025	tensorphylo
128	128	4	1	71.1427203	71.101954	tensorphylo
256	2	1	1	6.9682124	6.749748	tensorphylo
256	2	2	1	14.3956289	14.188624	tensorphylo
256	2	3	1	13.3099735	13.0998485	tensorphylo
256	2	4	1	12.4591948	12.251169	tensorphylo
256	4	1	1	7.91259	7.7320465	tensorphylo
256	4	2	1	12.9655448	12.7964485	tensorphylo
256	4	3	1	11.9507907	11.738669	tensorphylo
256	4	4	1	12.0788993	11.175944	tensorphylo
256	8	1	1	13.2766938	13.064281	tensorphylo
256	8	2	1	8.1983395	7.843095	tensorphylo
256	8	3	1	12.6461179	12.4342955	tensorphylo
256	8	4	1	12.0949672	11.7712435	tensorphylo
256	16	1	1	23.3978103	23.214118	tensorphylo
256	16	2	1	13.8847894	13.555215	tensorphylo
256	16	3	1	10.357707	10.1234535	tensorphylo
256	16	4	1	8.0928096	7.7849365	tensorphylo
256	32	1	1	47.9520625	47.5462035	tensorphylo
256	32	2	1	28.62948	28.270894	tensorphylo
256	32	3	1	18.8684214	18.641716	tensorphylo
256	32	4	1	15.334041	15.059423	tensorphylo
256	64	1	1	167.0615889	166.3772415	tensorphylo
256	64	2	1	91.1331928	93.4122475	tensorphylo
256	64	3	1	58.2899419	57.036453	tensorphylo
256	64	4	1	40.9334119	40.6274125	tensorphylo
256	128	1	1	461.9261966	463.3832915	tensorphylo
256	128	2	1	230.9096671	229.9121945	tensorphylo
256	128	3	1	177.3539214	177.0884915	tensorphylo
256	128	4	1	126.500662	126.303042	tensorphylo
512	2	1	1	12.7364245	11.9940785	tensorphylo
512	2	2	1	27.2126348	25.833608	tensorphylo
512	2	3	1	28.3913479	27.624078	tensorphylo
512	2	4	1	28.7569449	25.585558	tensorphylo
512	4	1	1	17.2477242	16.307258	tensorphylo
512	4	2	1	11.585534	10.6856045	tensorphylo
512	4	3	1	9.74611	8.9560605	tensorphylo
512	4	4	1	10.3556529	9.4012385	tensorphylo
512	8	1	1	27.357168	26.360745	tensorphylo
512	8	2	1	16.8454814	15.958676	tensorphylo
512	8	3	1	12.8632006	12.0725115	tensorphylo
512	8	4	1	11.1437385	10.2366545	tensorphylo
512	16	1	1	48.5253204	47.041309	tensorphylo
512	16	2	1	27.2224543	26.328396	tensorphylo
512	16	3	1	26.02229	26.4619125	tensorphylo
512	16	4	1	26.0338971	25.221765	tensorphylo
