ntips	nstates	ncores	rep	mean_time	median_time	method
32	2	1	1	0.5547382	0.5233445	tensorphylo
32	2	2	1	0.5593261	0.52767	tensorphylo
32	2	3	1	1.5880366	1.5515425	tensorphylo
32	2	4	1	2.7718583	2.7417315	tensorphylo
32	4	1	1	0.649563	0.623897	tensorphylo
32	4	2	1	1.5586519	1.5291155	tensorphylo
32	4	3	1	2.0169827	1.7689245	tensorphylo
32	4	4	1	2.856183	3.2842025	tensorphylo
32	8	1	1	0.6555162	0.631605	tensorphylo
32	8	2	1	2.1503639	2.1284535	tensorphylo
32	8	3	1	1.7612165	1.660213	tensorphylo
32	8	4	1	1.633727	1.6263675	tensorphylo
32	16	1	1	0.8656945	0.8377735	tensorphylo
32	16	2	1	1.8632942	1.8362875	tensorphylo
32	16	3	1	1.9679385	1.8104165	tensorphylo
32	16	4	1	2.6346764	2.1084455	tensorphylo
32	32	1	1	0.9117949	0.883304	tensorphylo
32	32	2	1	2.1684244	2.140856	tensorphylo
32	32	3	1	1.9009158	1.7831925	tensorphylo
32	32	4	1	1.5090706	1.379486	tensorphylo
64	2	1	1	1.1649166	1.1217805	tensorphylo
64	2	2	1	3.7670882	3.7235585	tensorphylo
64	2	3	1	3.1691442	3.130719	tensorphylo
64	2	4	1	4.2693095	4.031202	tensorphylo
64	4	1	1	1.2125504	1.170222	tensorphylo
64	4	2	1	4.0334078	3.99094	tensorphylo
64	4	3	1	3.2476387	3.135352	tensorphylo
64	4	4	1	3.27344	3.244658	tensorphylo
64	8	1	1	1.302201	1.261611	tensorphylo
64	8	2	1	3.5006456	3.4556235	tensorphylo
64	8	3	1	3.5710918	3.340721	tensorphylo
64	8	4	1	5.6235067	5.637746	tensorphylo
64	16	1	1	1.4755941	1.4339545	tensorphylo
64	16	2	1	3.2926567	3.256876	tensorphylo
64	16	3	1	4.209757	3.794837	tensorphylo
64	16	4	1	3.5059346	3.0538645	tensorphylo
64	32	1	1	1.9480576	1.90609	tensorphylo
64	32	2	1	3.9155779	3.8718965	tensorphylo
64	32	3	1	4.4731697	4.3764835	tensorphylo
64	32	4	1	4.7611373	3.8378665	tensorphylo
128	2	1	1	2.1755912	2.0858545	tensorphylo
128	2	2	1	6.4775367	6.388866	tensorphylo
128	2	3	1	6.8619445	6.7323435	tensorphylo
128	2	4	1	6.7028604	5.7481795	tensorphylo
128	4	1	1	2.3985697	2.306578	tensorphylo
128	4	2	1	6.2248455	6.1687165	tensorphylo
128	4	3	1	6.9853053	6.8440685	tensorphylo
128	4	4	1	11.302224	11.7767375	tensorphylo
128	8	1	1	2.3891807	2.3070905	tensorphylo
128	8	2	1	6.7163002	6.6289415	tensorphylo
128	8	3	1	5.5666151	6.595424	tensorphylo
128	8	4	1	3.1569754	2.6792885	tensorphylo
128	16	1	1	3.629074	3.5369265	tensorphylo
128	16	2	1	2.685049	2.468979	tensorphylo
128	16	3	1	10.5481971	10.3887645	tensorphylo
128	16	4	1	19.673604	19.403455	tensorphylo
128	32	1	1	3.6564579	3.5591895	tensorphylo
128	32	2	1	2.843063	2.602188	tensorphylo
128	32	3	1	2.451226	2.370046	tensorphylo
128	32	4	1	2.6698175	2.590339	tensorphylo
256	2	1	1	4.1326565	3.8903875	tensorphylo
256	2	2	1	14.3047524	13.9232925	tensorphylo
256	2	3	1	13.048783	12.825251	tensorphylo
256	2	4	1	16.0547267	11.8506195	tensorphylo
256	4	1	1	4.7564059	4.5119885	tensorphylo
256	4	2	1	13.9874493	13.609212	tensorphylo
256	4	3	1	13.7875456	13.2182975	tensorphylo
256	4	4	1	18.7313133	24.138627	tensorphylo
256	8	1	1	5.4915728	5.2362945	tensorphylo
256	8	2	1	13.5014927	13.245829	tensorphylo
256	8	3	1	15.5897293	14.789315	tensorphylo
256	8	4	1	20.786795	23.734408	tensorphylo
256	16	1	1	5.8232136	5.589325	tensorphylo
256	16	2	1	14.6598493	14.4263625	tensorphylo
256	16	3	1	13.4144046	13.1574945	tensorphylo
256	16	4	1	13.4715791	12.0116265	tensorphylo
256	32	1	1	7.6232858	7.3725585	tensorphylo
256	32	2	1	13.781084	13.5752845	tensorphylo
256	32	3	1	15.3953688	14.921253	tensorphylo
256	32	4	1	17.0207277	12.547312	tensorphylo
512	2	1	1	8.4525477	7.6430355	tensorphylo
512	2	2	1	29.5157934	28.593728	tensorphylo
512	2	3	1	28.9442042	27.9336895	tensorphylo
512	2	4	1	23.0711346	9.7242365	tensorphylo
512	4	1	1	9.7187548	8.8744295	tensorphylo
512	4	2	1	29.4650518	27.356348	tensorphylo
512	4	3	1	26.3791827	25.5852095	tensorphylo
512	4	4	1	25.7806401	24.018128	tensorphylo
512	8	1	1	10.6027189	9.7594555	tensorphylo
512	8	2	1	9.3059914	8.3479895	tensorphylo
512	8	3	1	9.2296617	8.313529	tensorphylo
512	8	4	1	10.6571956	9.1125165	tensorphylo
512	16	1	1	13.1828202	12.381754	tensorphylo
512	16	2	1	11.4812013	10.815554	tensorphylo
512	16	3	1	22.3242212	28.146008	tensorphylo
512	16	4	1	33.9097839	29.689289	tensorphylo
512	32	1	1	14.2174101	13.4209195	tensorphylo
512	32	2	1	11.7298745	10.789765	tensorphylo
512	32	3	1	10.2603935	9.3445765	tensorphylo
512	32	4	1	24.8336098	25.6965245	tensorphylo
1024	2	1	1	20.2918881	16.916723	tensorphylo
1024	2	2	1	18.3561223	15.1768675	tensorphylo
1024	2	3	1	57.4245672	54.2590515	tensorphylo
1024	2	4	1	51.6745099	48.0275435	tensorphylo
1024	4	1	1	21.194253	17.9126335	tensorphylo
1024	4	2	1	18.2849094	15.1865845	tensorphylo
1024	4	3	1	20.1076874	16.6217075	tensorphylo
1024	4	4	1	21.0643404	17.773254	tensorphylo
1024	8	1	1	22.200885	19.0182395	tensorphylo
1024	8	2	1	19.5360121	16.5025	tensorphylo
1024	8	3	1	19.5567007	16.5354025	tensorphylo
1024	8	4	1	22.1026818	18.334011	tensorphylo
1024	16	1	1	27.3473075	23.8596835	tensorphylo
1024	16	2	1	21.1127081	17.940206	tensorphylo
1024	16	3	1	20.2151484	17.2219065	tensorphylo
1024	16	4	1	23.891315	18.205107	tensorphylo
1024	32	1	1	32.7537684	29.6779935	tensorphylo
1024	32	2	1	26.4580749	21.7016895	tensorphylo
1024	32	3	1	23.3346088	19.91903	tensorphylo
1024	32	4	1	41.2438721	20.7694725	tensorphylo
32	2	1	2	0.4873547	0.456207	tensorphylo
32	2	2	2	0.7173524	0.534558	tensorphylo
32	2	3	2	0.8775927	0.706512	tensorphylo
32	2	4	2	0.9513845	0.694745	tensorphylo
32	4	1	2	0.5030823	0.4769325	tensorphylo
